,prev,prev,prev,prev,prev,next,next,next,next,next,plan,plan,plan,plan,plan
,"('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue',)","('colorControl_saturation',)","('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue',)","('colorControl_saturation',)",cmds,length,time,memory_num,visited_num
96,"('off',)","(34,)","(8000,)","(0,)","(12,)","('on',)","(34,)","(8000,)","(69,)","(0,)",['setHue:69'],1,0.0023980140686035156,370,369
97,"('on',)","(79,)","(7300,)","(0,)","(63,)","('on',)","(79,)","(5800,)","(0,)","(63,)",['setColorTemperature:5800'],1,0.002403736114501953,368,370
98,"('off',)","(83,)","(5700,)","(0,)","(96,)","('on',)","(23,)","(5700,)","(54,)","(0,)","['setHue:54', 'setLevel:23']",2,0.004767179489135742,738,740
99,"('off',)","(60,)","(5300,)","(7,)","(0,)","('on',)","(80,)","(5300,)","(21,)","(0,)","['setHue:21', 'setLevel:80']",2,0.00478363037109375,739,741
100,"('off',)","(10,)","(6600,)","(0,)","(85,)","('on',)","(10,)","(6600,)","(52,)","(0,)",['setHue:52'],1,0.0024063587188720703,370,369
101,"('on',)","(75,)","(2600,)","(0,)","(11,)","('on',)","(33,)","(2600,)","(83,)","(0,)","['setHue:83', 'setLevel:33']",2,0.004784345626831055,735,741
102,"('on',)","(100,)","(7700,)","(44,)","(0,)","('on',)","(72,)","(4200,)","(44,)","(0,)","['setColorTemperature:4200', 'setLevel:72']",2,0.004868745803833008,736,742
103,"('off',)","(66,)","(7500,)","(0,)","(9,)","('on',)","(9,)","(7500,)","(64,)","(0,)","['setHue:64', 'setLevel:9']",2,0.0047800540924072266,738,740
104,"('off',)","(13,)","(4600,)","(0,)","(98,)","('on',)","(13,)","(4600,)","(0,)","(67,)",['setSaturation:67'],1,0.002399921417236328,370,369
105,"('on',)","(78,)","(3900,)","(45,)","(0,)","('on',)","(32,)","(3900,)","(76,)","(0,)","['setLevel:32', 'setHue:76']",2,0.004774332046508789,736,742
106,"('on',)","(87,)","(7100,)","(56,)","(0,)","('on',)","(34,)","(8000,)","(0,)","(74,)","['setSaturation:74', 'setLevel:34', 'setColorTemperature:8000']",3,0.007303476333618164,1101,1111
107,"('off',)","(51,)","(7300,)","(0,)","(58,)","('on',)","(98,)","(7300,)","(0,)","(58,)",['setLevel:98'],1,0.0023877620697021484,370,369
108,"('off',)","(33,)","(7700,)","(71,)","(0,)","('on',)","(14,)","(7700,)","(0,)","(2,)","['setSaturation:2', 'setLevel:14']",2,0.004821300506591797,738,740
109,"('off',)","(56,)","(6100,)","(53,)","(0,)","('on',)","(56,)","(4000,)","(0,)","(80,)","['setSaturation:80', 'setColorTemperature:4000']",2,0.004788875579833984,738,740
110,"('on',)","(41,)","(4500,)","(6,)","(0,)","('on',)","(41,)","(6700,)","(44,)","(0,)","['setHue:44', 'setColorTemperature:6700']",2,0.00480341911315918,736,742
111,"('off',)","(73,)","(3300,)","(69,)","(0,)","('on',)","(62,)","(3300,)","(0,)","(50,)","['setSaturation:50', 'setLevel:62']",2,0.004799604415893555,738,740
112,"('on',)","(2,)","(3100,)","(62,)","(0,)","('on',)","(2,)","(7600,)","(44,)","(0,)","['setHue:44', 'setColorTemperature:7600']",2,0.00476837158203125,736,742
113,"('on',)","(48,)","(6600,)","(74,)","(0,)","('on',)","(48,)","(6600,)","(98,)","(0,)",['setHue:98'],1,0.002405881881713867,369,371
114,"('off',)","(36,)","(2800,)","(95,)","(0,)","('on',)","(27,)","(2800,)","(94,)","(0,)","['setHue:94', 'setLevel:27']",2,0.004790544509887695,739,741
115,"('off',)","(100,)","(2500,)","(0,)","(8,)","('on',)","(100,)","(3400,)","(0,)","(29,)","['setSaturation:29', 'setColorTemperature:3400']",2,0.004769563674926758,737,739
116,"('off',)","(81,)","(8100,)","(67,)","(0,)","('on',)","(2,)","(7300,)","(96,)","(0,)","['setColorTemperature:7300', 'setLevel:2', 'setHue:96']",3,0.00954294204711914,1473,1483
117,"('on',)","(6,)","(4900,)","(91,)","(0,)","('on',)","(74,)","(3500,)","(0,)","(23,)","['setSaturation:23', 'setColorTemperature:3500', 'setLevel:74']",3,0.007056713104248047,1101,1111
118,"('on',)","(8,)","(4100,)","(0,)","(7,)","('on',)","(8,)","(4100,)","(17,)","(0,)",['setHue:17'],1,0.002402782440185547,368,370
119,"('off',)","(1,)","(3700,)","(0,)","(66,)","('on',)","(47,)","(3700,)","(32,)","(0,)","['setHue:32', 'setLevel:47']",2,0.0047168731689453125,737,738
120,"('on',)","(99,)","(7100,)","(0,)","(5,)","('on',)","(62,)","(7100,)","(61,)","(0,)","['setHue:61', 'setLevel:62']",2,0.004736423492431641,735,741
121,"('on',)","(60,)","(6400,)","(70,)","(0,)","('on',)","(60,)","(4400,)","(30,)","(0,)","['setHue:30', 'setColorTemperature:4400']",2,0.0047760009765625,736,742
122,"('on',)","(49,)","(5000,)","(0,)","(10,)","('on',)","(49,)","(5000,)","(86,)","(0,)",['setHue:86'],1,0.0023915767669677734,368,370
123,"('on',)","(52,)","(5200,)","(46,)","(0,)","('on',)","(50,)","(3400,)","(46,)","(0,)","['setColorTemperature:3400', 'setLevel:50']",2,0.004802703857421875,736,742
124,"('off',)","(85,)","(7600,)","(16,)","(0,)","('on',)","(85,)","(8200,)","(0,)","(8,)","['setSaturation:8', 'setColorTemperature:8200']",2,0.004734039306640625,738,740
125,"('off',)","(39,)","(4100,)","(0,)","(39,)","('on',)","(79,)","(4100,)","(36,)","(0,)","['setHue:36', 'setLevel:79']",2,0.004747867584228516,738,740
126,"('on',)","(26,)","(8200,)","(0,)","(41,)","('on',)","(12,)","(8200,)","(0,)","(24,)","['setSaturation:24', 'setLevel:12']",2,0.004768848419189453,734,740
127,"('off',)","(3,)","(7700,)","(0,)","(1,)","('on',)","(44,)","(5400,)","(31,)","(0,)","['setHue:31', 'setColorTemperature:5400', 'setLevel:44']",3,0.0070917606353759766,1105,1111
128,"('on',)","(80,)","(3300,)","(0,)","(39,)","('on',)","(22,)","(3300,)","(62,)","(0,)","['setHue:62', 'setLevel:22']",2,0.004764556884765625,735,741
129,"('off',)","(93,)","(4000,)","(0,)","(83,)","('on',)","(55,)","(3000,)","(0,)","(83,)","['setColorTemperature:3000', 'setLevel:55']",2,0.004762172698974609,737,739
130,"('off',)","(77,)","(5800,)","(19,)","(0,)","('on',)","(58,)","(5800,)","(0,)","(38,)","['setSaturation:38', 'setLevel:58']",2,0.0047512054443359375,738,740
131,"('off',)","(86,)","(2800,)","(87,)","(0,)","('on',)","(86,)","(2800,)","(0,)","(13,)",['setSaturation:13'],1,0.002404451370239258,371,370
132,"('on',)","(12,)","(5800,)","(0,)","(91,)","('on',)","(12,)","(5800,)","(88,)","(0,)",['setHue:88'],1,0.002471446990966797,368,370
133,"('on',)","(37,)","(8000,)","(0,)","(71,)","('on',)","(61,)","(8000,)","(4,)","(0,)","['setHue:4', 'setLevel:61']",2,0.004766702651977539,735,741
134,"('off',)","(16,)","(3000,)","(0,)","(21,)","('on',)","(59,)","(5600,)","(0,)","(46,)","['setLevel:59', 'setColorTemperature:5600', 'setSaturation:46']",3,0.01698136329650879,2563,2589
135,"('off',)","(72,)","(5600,)","(87,)","(0,)","('on',)","(30,)","(5600,)","(66,)","(0,)","['setHue:66', 'setLevel:30']",2,0.0048122406005859375,739,741
136,"('off',)","(94,)","(2600,)","(94,)","(0,)","('on',)","(25,)","(2600,)","(6,)","(0,)","['setHue:6', 'setLevel:25']",2,0.004792213439941406,739,741
137,"('on',)","(28,)","(5000,)","(0,)","(25,)","('on',)","(62,)","(5000,)","(0,)","(25,)",['setLevel:62'],1,0.002393007278442383,368,370
138,"('on',)","(58,)","(7500,)","(72,)","(0,)","('on',)","(7,)","(4500,)","(33,)","(0,)","['setHue:33', 'setColorTemperature:4500', 'setLevel:7']",3,0.007148027420043945,1103,1113
139,"('on',)","(53,)","(4800,)","(0,)","(56,)","('on',)","(42,)","(5100,)","(30,)","(0,)","['setHue:30', 'setLevel:42', 'setColorTemperature:5100']",3,0.007102489471435547,1102,1112
140,"('off',)","(29,)","(7400,)","(25,)","(0,)","('on',)","(85,)","(7400,)","(54,)","(0,)","['setLevel:85', 'setHue:54']",2,0.007108211517333984,1107,1112
141,"('off',)","(38,)","(8100,)","(0,)","(22,)","('on',)","(34,)","(8000,)","(0,)","(28,)","['setColorTemperature:8000', 'setLevel:34', 'setSaturation:28']",3,0.009468555450439453,1469,1479
142,"('off',)","(14,)","(5400,)","(70,)","(0,)","('on',)","(14,)","(5400,)","(0,)","(64,)",['setSaturation:64'],1,0.002399444580078125,371,370
143,"('on',)","(15,)","(3200,)","(21,)","(0,)","('on',)","(15,)","(8900,)","(19,)","(0,)","['setHue:19', 'setColorTemperature:8900']",2,0.004756450653076172,736,742
144,"('on',)","(65,)","(8900,)","(0,)","(30,)","('on',)","(32,)","(3100,)","(5,)","(0,)","['setHue:5', 'setColorTemperature:3100', 'setLevel:32']",3,0.007135629653930664,1102,1112
145,"('off',)","(54,)","(3900,)","(0,)","(31,)","('on',)","(17,)","(8700,)","(0,)","(19,)","['setSaturation:19', 'setLevel:17', 'setColorTemperature:8700']",3,0.0071070194244384766,1103,1109
146,"('on',)","(20,)","(8000,)","(77,)","(0,)","('on',)","(53,)","(3100,)","(77,)","(0,)","['setColorTemperature:3100', 'setLevel:53']",2,0.00478053092956543,736,742
