,prev,prev,prev,prev,next,next,next,next,plan,plan,plan,plan,plan
,"('colorControl_hue', 'colorControl_saturation')","('switch',)","('switchLevel',)","('colorTemperature',)","('switch',)","('switchLevel',)","('colorTemperature',)","('colorControl_hue', 'colorControl_saturation')",cmds,length,time,memory_num,visited_num
121,"(29, 0)","('off',)","(21,)","(6400,)","('on',)","(11,)","(6000,)","(58, 0)","[('on', None), ('setColorTemperature', 6000), ('setHue', 58), ('setLevel', 11)]",4,0.01028585433959961,59,112
122,"(98, 0)","('on',)","(0,)","(2900,)","('on',)","(81,)","(3900,)","(53, 0)","[('setColorTemperature', 3900), ('setHue', 53), ('setLevel', 81)]",3,0.012293338775634766,82,155
123,"(0, 28)","('on',)","(27,)","(7200,)","('on',)","(74,)","(3200,)","(0, 28)","[('setColorTemperature', 3200), ('setLevel', 74)]",2,0.00529932975769043,75,88
124,"(28, 0)","('off',)","(14,)","(6800,)","('on',)","(34,)","(6800,)","(23, 0)","[('on', None), ('setHue', 23), ('setLevel', 34)]",3,0.005338907241821289,35,62
125,"(92, 0)","('off',)","(42,)","(7100,)","('on',)","(68,)","(2200,)","(0, 94)","[('on', None), ('setColorTemperature', 2200), ('setSaturation', 94), ('setLevel', 68)]",4,0.026931285858154297,195,268
126,"(0, 19)","('off',)","(31,)","(6600,)","('on',)","(53,)","(5400,)","(22, 0)","[('on', None), ('setColorTemperature', 5400), ('setHue', 22), ('setLevel', 53)]",4,0.008308172225952148,54,112
127,"(0, 7)","('on',)","(51,)","(8400,)","('on',)","(72,)","(8400,)","(22, 0)","[('setHue', 22), ('setLevel', 72)]",2,0.007157087326049805,73,98
128,"(0, 91)","('on',)","(50,)","(8100,)","('on',)","(79,)","(5200,)","(44, 0)","[('setColorTemperature', 5200), ('setHue', 44), ('setLevel', 79)]",3,0.011980056762695312,80,157
129,"(0, 78)","('on',)","(95,)","(2300,)","('on',)","(19,)","(3400,)","(82, 0)","[('setColorTemperature', 3400), ('setHue', 82), ('setLevel', 19)]",3,0.011734247207641602,84,117
130,"(32, 0)","('off',)","(72,)","(2900,)","('on',)","(10,)","(2300,)","(29, 0)","[('on', None), ('setColorTemperature', 2300), ('setHue', 29), ('setLevel', 10)]",4,0.004805088043212891,31,45
131,"(0, 96)","('off',)","(45,)","(5900,)","('on',)","(33,)","(5900,)","(0, 2)","[('on', None), ('setSaturation', 2), ('setLevel', 33)]",3,0.014360427856445312,104,141
