,prev,prev,prev,prev,next,next,next,next,plan,plan,plan,plan,plan
,"('tvChannel', 'mediaInputSource')","('audioMute',)","('audioVolume',)","('switch',)","('tvChannel', 'mediaInputSource')","('audioMute',)","('audioVolume',)","('switch',)",cmds,length,time,memory_num,visited_num
86,"(0, 'HDMI2')","('unmuted',)","(5,)","('off',)","(0, 'digitalTv')","('unmuted',)","(85,)","('off',)","[('on', None), ('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 0), ('setVolume>0', 85), ('off', None)]",5,0.0070743560791015625,86,92
87,"(524, 'digitalTv')","('muted',)","(43,)","('off',)","(731, 'digitalTv')","('unmuted',)","(55,)","('off',)","[('on', None), ('setTvChannel>0', 731), ('setMute', 'unmuted'), ('setVolume>0', 55), ('off', None)]",5,0.009444713592529297,56,86
88,"(505, 'digitalTv')","('muted',)","(42,)","('on',)","(801, 'digitalTv')","('unmuted',)","(59,)","('on',)","[('setTvChannel>0', 801), ('setMute', 'unmuted'), ('setVolume>0', 59)]",3,0.010026931762695312,60,92
89,"(0, 'HDMI2')","('muted',)","(50,)","('on',)","(518, 'digitalTv')","('unmuted',)","(95,)","('on',)","[('setInputSource>0', 'digitalTv'), ('setTvChannel>0', 518), ('setMute', 'unmuted'), ('setVolume>0', 95)]",4,0.008998870849609375,96,109
90,"(752, 'digitalTv')","('unmuted',)","(27,)","('on',)","(0, 'HDMI2')","('unmuted',)","(60,)","('on',)","[('setInputSource>0', 'HDMI2'), ('setVolume>0', 60)]",2,0.011293888092041016,61,99
91,"(516, 'digitalTv')","('unmuted',)","(85,)","('on',)","(0, 'digitalTv')","('muted',)","(90,)","('off',)","[('setTvChannel>0', 0), ('setVolume>0', 90), ('setMute', 'muted'), ('off', None)]",4,0.0066716670989990234,91,94
92,"(534, 'digitalTv')","('muted',)","(67,)","('off',)","(525, 'digitalTv')","('unmuted',)","(26,)","('on',)","[('on', None), ('setTvChannel>0', 525), ('setMute', 'unmuted'), ('setVolume>0', 26)]",4,0.004585742950439453,28,42
93,"(508, 'digitalTv')","('muted',)","(67,)","('off',)","(0, 'digitalTv')","('muted',)","(38,)","('on',)","[('on', None), ('setTvChannel>0', 0), ('setMute', 'unmuted'), ('setVolume>0', 38), ('setMute', 'muted')]",5,0.003796815872192383,40,45
94,"(524, 'digitalTv')","('muted',)","(80,)","('on',)","(834, 'digitalTv')","('unmuted',)","(4,)","('on',)","[('setTvChannel>0', 835), ('setMute', 'unmuted'), ('setVolume>0', 4)]",3,0.0075228214263916016,32,42
95,"(832, 'digitalTv')","('unmuted',)","(77,)","('off',)","(0, 'digitalTv')","('muted',)","(90,)","('on',)","[('on', None), ('setTvChannel>0', 0), ('setVolume>0', 90), ('setMute', 'muted')]",4,0.006616115570068359,91,95
96,"(0, 'digitalTv')","('muted',)","(73,)","('off',)","(0, 'digitalTv')","('muted',)","(78,)","('on',)","[('on', None), ('setMute', 'unmuted'), ('setVolume>0', 78), ('setMute', 'muted')]",4,0.005687236785888672,79,85
97,"(700, 'digitalTv')","('unmuted',)","(73,)","('on',)","(833, 'digitalTv')","('unmuted',)","(83,)","('on',)","[('setTvChannel>0', 833), ('setVolume>0', 83)]",2,0.011765718460083008,84,117
98,"(518, 'digitalTv')","('muted',)","(9,)","('on',)","(833, 'digitalTv')","('unmuted',)","(74,)","('off',)","[('setTvChannel>0', 834), ('setMute', 'unmuted'), ('setVolume>0', 74), ('off', None)]",4,0.012009620666503906,75,111
99,"(0, 'HDMI2')","('unmuted',)","(66,)","('on',)","(0, 'HDMI2')","('muted',)","(44,)","('on',)","[('setVolume>0', 44), ('setMute', 'muted')]",2,0.0031566619873046875,46,48
